anzahl;vorname;geschlecht;position
2;Helen;w;1
2;Dominik;m;1
2;Helene;w;1
2;Eddie;m;1
2;Henriette;w;1
2;Elijah;m;1
2;Hira;w;1
2;Emmanuel;m;1
2;Ilayda;w;1
2;Enno;m;1
2;Ina;w;1
2;Eray;m;1
2;Inaaya;w;1
2;Fabio;m;1
2;Isa;w;1
2;Filip;m;1
2;Jolie;w;1
2;Frederick;m;1
2;Juliana;w;1
2;Gustav;m;1
2;Kader;w;1
2;Hadi;m;1
2;Karla;w;1
2;Hendrik;m;1
2;Lana;w;1
2;Henrik;m;1
2;Leila;w;1
2;Idris;m;1
2;Leonora;w;1
2;Ilay;m;1
2;Leyla;w;1
2;Ilian;m;1
2;Liana;w;1
2;Ilja;m;1
2;Lily;w;1
2;Jad;m;1
2;Liyah;w;1
2;Jamal;m;1
2;Lua;w;1
2;Janne;m;1
2;Lucia;w;1
2;Jannes;m;1
2;Lynn;w;1
2;Jaron;m;1
2;Madita;w;1
2;Jiyan;m;1
2;Maia;w;1
2;Joel;m;1
2;Maila;w;1
2;Johan;m;1
2;Malia;w;1
2;Jon;m;1
2;Malou;w;1
2;Joscha;m;1
2;Mayla;w;1
2;Josh;m;1
2;Melisa;w;1
2;Juan;m;1
2;Melissa;w;1
2;Kalle;m;1
2;Melody;w;1
2;Karam;m;1
2;Milla;w;1
2;Klaas;m;1
2;Narin;w;1
2;Konrad;m;1
2;Nayla;w;1
2;Kuzey;m;1
2;Nia;w;1
2;Len;m;1
2;Paulina;w;1
2;Lewin;m;1
2;Philippa;w;1
2;Lian;m;1
2;Rania;w;1
2;Ludwig;m;1
2;Ria;w;1
2;Maarten;m;1
2;Safia;w;1
2;Magnus;m;1
2;Selma;w;1
2;Maksim;m;1
2;Sena;w;1
2;Malik;m;1
2;Sofia;w;1
2;Marlo;m;1
2;Talia;w;1
2;Marlon;m;1
2;Vivienne;w;1
2;Martin;m;1
2;Zeynep;w;1
2;Mert;m;1
2;Muhammad;m;1
2;Muhammed;m;1
2;Nael;m;1
2;Niclas;m;1
2;Nino;m;1
2;Oliver;m;1
2;Omar;m;1
2;Pepe;m;1
2;Phileas;m;1
2;Piet;m;1
2;Raman;m;1
2;Renas;m;1
2;Robin;m;1
2;Selim;m;1
2;Sergio;m;1
2;Seyed;m;1
2;Silas;m;1
2;Stephan;m;1
2;Tammo;m;1
2;Thomas;m;1
2;Tiago;m;1
2;Viktor;m;1
2;William;m;1
2;Yann;m;1
2;Yousef;m;1
